id,nom_fichier,titre,auteur,annee,sujets
4717,pg4717.txt,Autour de la Lune,"Verne, Jules, 1828-1905",2003,Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction
4740,Dans Le Fondu Des Mots Poésie.txt,Dans Le Fondu Des Mots: Poésie,"Bertrand, Huguette, 1942-",2003,Poetry
4741,Silence En Otage Poésie.txt,Silence En Otage: Poésie,"Bertrand, Huguette, 1942-",2003,Poetry
4771,Le Blanc et le Noir.txt,Le Blanc et le Noir,"Voltaire, 1694-1778",2003,French fiction -- 18th century
4772,Jeannot et Colin.txt,Jeannot et Colin,"Voltaire, 1694-1778",2003,French fiction -- 18th century
4785,Pêcheur d'Islande.txt,Pêcheur d'Islande,"Loti, Pierre, 1850-1923",2003,Fishers -- Fiction; Iceland -- Fiction
4791,Voyage au Centre de la Terre.txt,Voyage au Centre de la Terre,"Verne, Jules, 1828-1905",2003,"Science fiction; Adventure stories; Earth (Planet) -- Core -- Fiction; Voyages, Imaginary -- Fiction"
4935,"Pathologie Verbale, ou Lésions de certains mots dans le cours de l'usage.txt","Pathologie Verbale, ou Lésions de certains mots dans le cours de l'usage","Littré, Emile, 1801-1881",2004,French language -- Paronyms -- Dictionaries; French language -- Errors of usage; French language -- Etymology
4933,L'Escalier d'Or.txt,L'Escalier d'Or,"Jaloux, Edmond, 1878-1949",2004,French fiction -- 20th century
4936,Romanz De L'estoire Dou Graal.txt,Romanz De L'estoire Dou Graal,"Robert, de Boron, active 13th century",2004,"Poetry; Grail -- Legends; Joseph, of Arimathea, Saint -- Legends"
4968,Les Cinq Cents Millions De La Bégum.txt,Les Cinq Cents Millions De La Bégum,"Verne, Jules, 1828-1905",2004,Science fiction; Oregon -- Fiction; Distribution of decedents' estates -- Fiction; New towns -- Fiction
5081,Les Indes Noires.txt,Les Indes Noires,"Verne, Jules, 1828-1905",2004,"Coal mines and mining -- Fiction; Scotland -- Fiction; Adventure stories; Civilization, Subterranean -- Fiction; Fantasy fiction, French; Imaginary places"
5082,Le chateâu des Carpathes.txt,Le chateâu des Carpathes,"Verne, Jules, 1828-1905",2004,Detective and mystery stories; Transylvania (Romania) -- Fiction; Carpathian Mountains -- Fiction
